2024-10-18 08:13:17: ('1', 5.55, 18.18, 9.6, '18.10.24', '2024-10-17 14:54:07')
2024-10-18 08:13:17: 1, 5.55, 18.18, 9.6, 18.10.24, 2024-10-17 14:54:07
2024-10-18 08:13:43: ('2', 5.57, 18.18, 9.5, '18.10.24', '2024-10-17 14:54:07')
2024-10-18 08:13:43: 2, 5.57, 18.18, 9.5, 18.10.24, 2024-10-17 14:54:07
2024-10-18 08:14:13: ('3', 5.56, 18.19, 9.3, '18.10.24', '2024-10-17 14:54:07')
2024-10-18 08:14:13: 3, 5.56, 18.19, 9.3, 18.10.24, 2024-10-17 14:54:07
2024-10-18 08:14:44: ('4', 5.56, 18.18, 9.1, '18.10.24', '2024-10-17 14:54:07')
2024-10-18 08:14:44: 4, 5.56, 18.18, 9.1, 18.10.24, 2024-10-17 14:54:07
2024-10-18 08:15:15: ('5', 5.55, 18.1, 9.7, '18.10.24', '2024-10-17 14:54:07')
2024-10-18 08:15:15: 5, 5.55, 18.1, 9.7, 18.10.24, 2024-10-17 14:54:07
2024-10-18 08:15:46: ('6', 5.56, 18.18, 9.1, '18.10.24', '2024-10-17 14:54:07')
2024-10-18 08:15:46: 6, 5.56, 18.18, 9.1, 18.10.24, 2024-10-17 14:54:07
2024-10-18 08:16:16: ('7', 5.54, 18.13, 9.2, '18.10.24', '2024-10-17 14:54:07')
2024-10-18 08:16:16: 7, 5.54, 18.13, 9.2, 18.10.24, 2024-10-17 14:54:07
2024-10-18 08:16:47: ('8', 5.53, 18.18, 9.6, '18.10.24', '2024-10-17 14:54:07')
2024-10-18 08:16:47: 8, 5.53, 18.18, 9.6, 18.10.24, 2024-10-17 14:54:07
2024-10-18 08:17:18: ('9', 5.54, 18.12, 9.2, '18.10.24', '2024-10-17 14:54:07')
2024-10-18 08:17:18: 9, 5.54, 18.12, 9.2, 18.10.24, 2024-10-17 14:54:07
2024-10-18 08:17:49: ('10', 5.52, 18.18, 9.7, '18.10.24', '2024-10-17 14:54:07')
2024-10-18 08:17:49: 10, 5.52, 18.18, 9.7, 18.10.24, 2024-10-17 14:54:07
2024-10-18 08:19:01: ('1', 5.49, 5.49, 28.1, '18.10.24', '2024-10-17 14:54:07')
2024-10-18 08:19:01: 1, 5.49, 5.49, 28.1, 18.10.24, 2024-10-17 14:54:07
2024-10-18 08:21:01: ('3', 5.49, 18.18, 9.0, '18.10.24', '2024-10-17 14:54:07')
2024-10-18 08:21:01: 3, 5.49, 18.18, 9.0, 18.10.24, 2024-10-17 14:54:07
2024-10-18 08:22:34: ('6', 5.54, 18.1, 9.5, '18.10.24', '2024-10-17 14:54:07')
2024-10-18 08:22:34: 6, 5.54, 18.1, 9.5, 18.10.24, 2024-10-17 14:54:07
2024-10-18 08:24:06: ('9', 5.52, 18.18, 9.1, '18.10.24', '2024-10-17 14:54:07')
2024-10-18 08:24:06: 9, 5.52, 18.18, 9.1, 18.10.24, 2024-10-17 14:54:07
2024-10-18 08:25:32: ('1', 5.53, 18.2, 8.8, '18.10.24', '2024-10-17 14:54:07')
2024-10-18 08:25:32: 1, 5.53, 18.2, 8.8, 18.10.24, 2024-10-17 14:54:07
2024-10-18 08:25:59: ('2', 5.55, 18.18, 9.0, '18.10.24', '2024-10-17 14:54:07')
2024-10-18 08:25:59: 2, 5.55, 18.18, 9.0, 18.10.24, 2024-10-17 14:54:07
